Title,Bounding Box,Identifier
"Plat book of Adair County, Iowa","-94.7025, 41.1561, -94.2424, 41.5033",a0c1f157-6f8d-49e2-b30c-d3823b865500
"Plat book of Adams County, Iowa","-94.9308, 40.8989, -94.4722, 41.1578",8761dd95-7911-46f9-8c1b-641735e591dc
"Plat book of Audubon County, Iowa","-95.0947, 41.5032, -94.7014, 41.8626",4fa559cd-91f6-4f9f-94ea-99c5f0efa2df
"Plat book of Benton County, Iowa","-92.2996, 41.8617, -91.8318, 42.2987",62abb614-fc33-4368-8daa-2821995d86f8
"Plat book of Black Hawk County, Iowa","-92.5554, 42.2972, -92.0647, 42.6413",132fd790-ff0b-4771-938a-f16b72325216
"Plat book of Boone County, Iowa","-94.1673, 41.8621, -93.6998, 42.2094",e54c9b00-e7c3-408a-ae85-1eb16feb4292
"Plat book of Bremer County, Iowa","-92.5554, 42.6407, -92.0825, 42.9063",a790f854-e9c3-4b5d-990b-07feb13b95bb
"Plat book of Buchanan County, Iowa","-92.083, 42.2959, -91.5969, 42.6437",1cb7960e-071b-4485-8912-3a9705f5c712
"Plat book of Buena Vista County, Iowa","-95.3889, 42.5602, -94.9152, 42.9096",87af2c45-7cff-44b0-b7e6-49683b9caf12
"Plat book of Butler County, Iowa","-93.0284, 42.555, -92.5536, 42.9071",8af3f6a0-180a-4a54-b8c2-4214cf88e09b
"Plat book of Calhoun County, Iowa","-94.9152, 42.2086, -94.3974, 42.5602",e5d84377-56de-4f56-a9d9-d488fbb9de4d
"Plat book of Carroll County, Iowa","-95.0947, 41.861, -94.6298, 42.2101",cab7476f-b7b6-4f14-816b-9d7b97524646
"Plat book of Cass County, Iowa","-95.1569, 41.1572, -94.7014, 41.5041",36c033b5-a77b-4295-8c25-09d25a3c0267
"Plat book of Cedar County, Iowa","-91.3677, 41.5974, -90.8997, 41.9483",0fecfea1-a3af-412a-87e2-a1f81c3f3119
"Plat book of Cerro Gordo County, Iowa","-93.499, 42.9071, -93.0241, 43.2576",a4701d23-276c-492d-8bde-a53bfe546ea2
"Plat book of Cherokee County, Iowa","-95.86, 42.5602, -95.3875, 42.9094",e297be89-4d14-4fc8-9c8b-65910511baa3
"Plat book of Chickasaw County, Iowa","-92.5544, 42.9059, -92.0808, 43.2132",c8290cda-b3ab-4f30-97ce-dafd4dcffbd2
"Plat book of Clarke County, Iowa","-94.0152, 40.8961, -93.558, 41.1613",293faca7-a4ec-4cc4-b04a-f7f68b43231f
"Plat book of Clay County, Iowa","-95.3882, 42.9085, -94.9132, 43.256",ab25797a-e82b-4b68-bd5c-7393eb3c9e3c
"Plat book of Crawford County, Iowa","-95.6735, 41.8619, -95.0913, 42.2099",e55fe0d9-c16b-497b-b763-46ce1bff93cf
"Plat book of Dallas County, Iowa","-94.2813, 41.5014, -93.7919, 41.8627",248105da-e02a-4ecb-932e-1796f36b7c38
"Plat book of Davis County, Iowa","-92.64, 40.5914, -92.1792, 40.8994",5dcf0607-a3b7-4d49-bffb-916da49c14e6
"Plat book of Decatur County, Iowa","-94.0182, 40.5735, -93.5565, 40.8989",6b251a07-a706-4ee2-b384-f71bb6dfcd35
Plat book of Delaware County,"-91.6085, 42.2949, -91.1292, 42.6451",37599b45-415e-4663-a37b-c520b7204913
"Plat book of Des Moines County, Iowa","-91.4095, 40.6956, -90.9449, 41.0741",d6ebc4db-7400-4d10-83e6-66b67ccf020b
"Plat book of Dickinson County, Iowa","-95.388, 43.2551, -94.9132, 43.504",2c3a4c42-0d19-4f83-8f8a-618b0dd1b0ed
